Created Date & Time,Request Type,Sub Request Type,Branch Name,Customer Comments,Comments Date & Time,Total Calls,Latitude_Comment,Longitude_Comment,closest_park,min_distance,ADDRESS,Latitude_Park,Longitude_Park,Keyword,Comment Address,Zone,comment_topics,Year,Month,DayOfWeek,HourOfDay,season,topic_count,Topic_cat_l3,Topic_cat_l2,Topic_cat_l1
1/1/21 20:43,Parks Inquiry,PathMntnc,Parks Maintenance,i just want to thank you for the fine job of cleaning the path at stewart russell park. kudos to all who made this happen! happy new year!,1/1/21 20:45,1.0,50.4582869,-104.6086978,STEWART RUSSELL PARK,0.0,1912 E 7TH AVE,50.4582869,-104.6086978,Thank you.,1912 E 7TH AVE,EAST,-1,2021,1,5,20,Winter,633,-1_tree_hazard_pruning_path,clean,sanitary
1/1/21 21:16,Parks Inquiry,PathMntnc,Parks Maintenance,"will there be some sidewalk snow removal done around sereda park, in westerra....to the cricket pitch on dewdney?",1/1/21 21:18,1.0,50.45385,-104.69538,SEREDA PARK,0.0,7955 BARLEY CRES,50.45385,-104.69538,"Safety, accessibility",7955   BARLEY CRES,WEST,64,2021,1,5,21,Winter,22,64_accessibility_waterway_disabilities_iewalkability,sidewalk,security administration 
1/1/21 21:20,Parks Inquiry,PathMntnc,Parks Maintenance,"just a quick note to thank the city for cleaning the pathways in wascana view park. it is a great improvement for the last three years (i think it has been three). if you can, pass our thanks along to the operator who is doing the work - great job. happy new year - reg and gwenn ronyk.",1/1/21 21:22,1.0,50.41765,-104.53488,WASCANA RIDGE PARK,0.3424865934729879,WASCANA RIDGE & WASCANA CIRCLE,50.420534,-104.5331829,Pathway cleanliness.,6056   WASCANA CRT,EAST,38,2021,1,5,21,Winter,30,38_pathway_pathways_clearing_blocked,clean,sanitary
1/2/21 23:10,Parks Inquiry,ParksMnt,Parks Maintenance,"reference # 1919405692more than two years ago, the back of our yard in philips park was excavated, and not returned to an even surface for walking. its dangerous &amp; muddy. children have fallen. there are many thistles. it just needs a leveling. can't this be attended to? the passing of time is not making it better.",1/2/21 23:12,1.0,50.4273386,-104.5450375,PHILLIP PARK,0.0965982127241121,3256 MARGARET RD,50.4266099,-104.5457799,"Dangerous, Uneven",2531 E MARGARET PL,EAST,2,2021,1,6,23,Winter,94,2_safety_conditions_unsafe_unsanitary,can,sanitary
1/4/21 9:13,Parks Inquiry,PathMntnc,Parks Maintenance,caller states the pathway in selinger park needs to be sanded. she states it is very icy.,1/4/21 9:14,1.0,50.4218226,-104.5566431,SELINGER PARK,0.3978267611299655,3674 SELINGER CRES,50.41914999999999,-104.55291,Icy pathway.,1803 E ASSINIBOINE AVE,EAST,138,2021,1,1,9,Winter,11,138_icy_entire_surfaces_covering,path,security administration 
1/4/21 9:13,Parks Inquiry,PathMntnc,Parks Maintenance,caller states the pathway north of truesdale needs to be sanded. she states it is very icy.,1/4/21 9:16,1.0,50.4353388,-104.5516207,GARDINER PARK,0.2601455857301429,424 UNIVERSITY PARK DR,50.4372573,-104.5537229,Icy pathway.,2206 E TRUESDALE DR,EAST,138,2021,1,1,9,Winter,11,138_icy_entire_surfaces_covering,path,security administration 
1/4/21 11:15,Parks Inquiry,PathMntnc,Parks Maintenance,resident is reporting pathways in carey park need to be cleared,1/4/21 11:18,1.0,50.4763745,-104.6393707,CAREY PARK,0.0,120 CAREY ST,50.4763745,-104.6393707," of large pieces of asphaltasphalt,",120   CAREY ST,NORTH,76,2021,1,1,11,Winter,19,76_asphalt_pavement_paved_sidewalkroadway,path,security administration 
1/4/21 11:36,Parks Inquiry,ParksMnt,Parks Maintenance,"caller from sask energy, needs access in case of leaks wanting to get copies of keys for this park as they do not have currently - please contact",1/4/21 11:38,1.0,50.4672738,-104.5959123,EASTVIEW PARK,0.5206251146419768,945 BRODER ST,50.46427,-104.59027,"Access, keys",750 N WINNIPEG ST,CENTRAL,22,2021,1,1,11,Winter,41,22_access_route_location_permission,leak,maintenance
1/4/21 13:15,Parks Inquiry,PrkGrbEmpt,Parks Maintenance,garbage containers at 3 entrances to mayfield park are overflowing with bags of dog excrement.,1/4/21 13:19,1.0,50.4294297,-104.5637883,MAYFIELD PARK,7.900874738066842e-13,112 MAYFIELD RD,50.42942970000001,-104.5637883,"dog excrement, overflowing garbage",112   MAYFIELD RD,EAST,53,2021,1,1,13,Winter,23,53_feces_dog_poop_excrement,garbage,sanitary
1/4/21 19:11,Parks Inquiry,OutdrRink,Parks Maintenance,"the lights for the outdoor rink does not work when the button is pressed, please fix. stan oxelgren park rink.",1/4/21 19:16,1.0,50.4890805,-104.6363177,STAN OXELGREN MEMORIAL PARK,0.0864333444287767,126 SANGSTER BLVD,50.48968,-104.63554,The lights.,34   PIAPOT BAY,NORTH,55,2021,1,1,19,Winter,23,55_lights_solar_parameters_button,lights,public facilities
