Topic,Count,Name
-1,633,-1_tree_hazard_pruning_path
0,176,0_weeds_alley_104litter_regularlyweeds
1,106,1_key_complaint_issue_this
2,94,2_safety_conditions_unsafe_unsanitary
3,82,3_mowing_space_schedule_quality
4,78,4_littering_raking_digging_pets
5,75,5_lack_maintenance_of_maintenancel
6,73,6_visitor_complaint_this_key
7,70,7_maintenance_repairs_youlack_great
8,67,8_control_weed_parkweed_requiredweed
9,66,9_vandalism_graffiti_inappropriate_vandalized
10,64,10_irrigation_pump_sump_sod
11,60,11_removal_snow_clearing_sidewalk
12,57,12_fence_fencing_fences_along
13,52,13_trees_blocking_tree_down
14,51,14_litter_porta_litter2_vehicular
15,48,15_drainage_ditch_puddles_poor
16,47,16_cutting_cut_uncut_grass
17,46,17_leak_leakage_leaking_water
18,45,18_damage_injury_property_car
19,45,19_sprinklers_sprinkler_system_11pc
20,44,20_hole_ground_holes_sinkholes
21,42,21_bench_missing_benches_seating
22,41,22_access_route_location_permission
23,40,23_gravel_muddy_sand_mud
24,40,24_gate_gates_security_locked
25,38,25_lawn_maintenance_facility_scraping
26,37,26_grass_toovergrown_dry_stream
27,37,27_parks_park_inefficient_maintenance
28,36,28_nan___
29,35,29_rink_outdoor_skating_hockey
30,34,30_weeding_seeding_bouquet_trimming
31,33,31_overgrowth_growth_iolitter_pickers
32,33,32_permit_permits_bylaw_allowed
33,33,33_swing_tire_broken_chain
34,32,34_noise_traffic_pedestrian_cyclists
35,32,35_debris_dust_crusher_litter
36,32,36_branches_branch_fallen_tree
37,31,37_conservation_usage_drought_water
38,30,38_pathway_pathways_clearing_blocked
39,30,39_incomplete_work_information_providing
40,30,40_appearance_unkempt_neglected_general
41,29,41_maintained_parks_park_watered
42,29,42_watering_drought_inconsistency_rain
43,29,43_recreation_parks_park_271
44,29,44_overgrown_grass_drivethe_attempted
45,28,45_garbage_capacity_possiblegarbage_groundslitter
46,26,46_easement_easel_access_sloping
47,26,47_snow_driveway_vehicles_snowy
48,26,48_trash_homelessness_unhealthy_callers
49,24,49_too_long_high_grass
50,24,50_parking_illegal_buses_activity
51,24,51_garbage_park_trash_derby
52,23,52_playground_covid_equipment_unsafe
53,23,53_feces_dog_poop_excrement
54,23,54_gopher_holes_hole_paraphernalia
55,23,55_lights_solar_parameters_button
56,23,56_grassweeds_and_slope_scraggly
57,23,57_basketball_court_soccer_tennis
58,23,58_vegetation_overgrown_much_thisdyingdead
59,22,59_foxtail_foxtails_fox_tails
60,22,60_waste_wasting_water_medical
