NAME,ADDRESS,CLASS,ZONE,City,Country
1ST AVENUE PARK,625 EMPRESS ST,B,WEST,Regina,Canada
3RD AVENUE PARK,4610 3RD AVE,B,WEST,Regina,Canada
ACT BALL PARK,460 ELPHINSTONE ST,C,NORTH,Regina,Canada
A.C.T. BALL PARK,460 ELPHINSTONE ST,C,NORTH,Regina,Canada
AE WILSON PARK EAST,6102 BRUNSKILL PL,A,WEST,Regina,Canada
A.E. WILSON PARK EAST,6102 BRUNSKILL PL,A,WEST,Regina,Canada
AE WILSON PARK WEST,1010 MCCARTHY BLVD,A,WEST,Regina,Canada
A.E. WILSON PARK WEST,1010 MCCARTHY BLVD,A,WEST,Regina,Canada
ABERDEEN PARK,5320 1ST AVE,B,WEST,Regina,Canada
ACADEMY PARK,2 ACADEMY PARK RD,B,SOUTH,Regina,Canada
AL PICKARD PARK,343 N PICKARD ST,B,WEST,Regina,Canada
ALPORT PARK,28 ALPORT CRES,B,NORTH,Regina,Canada
ANGUS ROAD PARK,"435, 465 & 497 ANGUS RD",B,NORTH,Regina,Canada
ARBOR GROVE PARK,3436 OLIVE GROVE,B,EAST,Regina,Canada
ARBORETUM PARK,1430 4TH AVE,C,CENTRAL,Regina,Canada
ARLINGTON PARK,35 GROOME AVE,B,SOUTH,Regina,Canada
ARTHUR PARK,4215 SHERWOOD DR,C,WEST,Regina,Canada
ASSINIBOINE PARK,3355 ROBINSON ST,B,SOUTH,Regina,Canada
BAKER PARK,8801 SHERWOOD DR,B,WEST,Regina,Canada
BASTEDO PARK,87 MCSHERRY CRES,B,WEST,Regina,Canada
BEACON PARK,5389 AERIAL CRES,B,SOUTH,Regina,Canada
BENSON PARK,4550 8TH AVE,B,WEST,Regina,Canada
BIRCHWOOD PARK,10 NORRIS RD,C,SOUTH,Regina,Canada
BLOOS PARK,5599 DEVINE PL,B,WEST,Regina,Canada
BOTHWELL PARK,94 BOTHWELL CRES,B,NORTH,Regina,Canada
BRINKWORTH PARK,2150 ALEXANDRA ST,C,CENTRAL,Regina,Canada
BRUTON PARK,30 CHURCH DR,B,WEST,Regina,Canada
