NAME,ADDRESS,CLASS,ZONE,City,Country,Latitude,Longitude
EMPRESS PARK,1 EMPRESS DR,B,WEST,Regina,Canada,50.4488399,-104.65172
BIRCHWOOD PARK,10 NORRIS RD,C,SOUTH,Regina,Canada,50.40061,-104.60292
PROCTER PARK,100 PROCTER PL,B,SOUTH,Regina,Canada,50.4170591,-104.6146143
LITZENBERGER PARK,100 RINK AVE,B,WEST,Regina,Canada,50.48916999999999,-104.64997
JUNIPER PARK,1000 STOCKTON ST,B,WEST,Regina,Canada,50.4955673,-104.6454386
WAPITI PARK,1001 N AGRYLE ST,,NORTH,Regina,Canada,50.4628176,-104.6323134
AE WILSON PARK WEST,1010 MCCARTHY BLVD,A,WEST,Regina,Canada,50.4602177,-104.6752887
MCNIVEN PARK,1010 MCNIVEN AVE,C,SOUTH,Regina,Canada,50.4184,-104.5956999
FRENCH PARK,1055 N MCINTOSH ST,B,WEST,Regina,Canada,50.4620526,-104.6524994
PINES OF NORMANVIEW PARK,1098 DOROTHY ST,B,WEST,Regina,Canada,50.47773,-104.68396
ROSEMONT PARK,1101 WALKER ST,B,WEST,Regina,Canada,50.46098,-104.6618699
CRESCENT PARK,1109 E 14TH AVE,B,CENTRAL,Regina,Canada,50.4437893,-104.5968867
QUEEN ELIZABETH JUBILEE PARK,111 E BROADWAY AVE,B,EAST,Regina,Canada,50.4374548,-104.5827107
DARKE PARK,1115 MCNIVEN AVE,B,SOUTH,Regina,Canada,50.417087,-104.5977508
MAYFIELD PARK,112 MAYFIELD RD,B,EAST,Regina,Canada,50.42942970000001,-104.5637883
MAPLE LEAF PARK,1120 14TH AVE,B,CENTRAL,Regina,Canada,50.44453379999999,-104.5969759
MJ COLDWELL PARK,115 FAIRVIEW RD,B,NORTH,Regina,Canada,50.49045,-104.61082
MCINNIS PARK 1,115 MCINNIS CRES,B,NOTH,Regina,Canada,50.4841,-104.63194
ROTHWELL FIELDS PARK,1197 PARK ST,C,EAST,Regina,Canada,50.4598299,-104.56836
CAREY PARK,120 CAREY ST,B,NORTH,Regina,Canada,50.4763745,-104.6393707
WEEKES PARK,120 WEEKES CRES,B,NORTH,Regina,Canada,50.4957705,-104.6079524
ROTHWELL PARK,1201 ROTHWELL ST,B,EAST,Regina,Canada,50.4587,-104.56965
WHELAN  RADWAY PARK,1202 N RADWAY ST,B,WEST,Regina,Canada,50.4977268,-104.6683226
ELMWOOD PARK,1225 SHANNON RD,B,SOUTH,Regina,Canada,50.40297,-104.59662
PARKRIDGE PARK,1243 ROSSIE DR,B,EAST,Regina,Canada,50.45826,-104.53352
EMERALD PARK,125 EMERALD PARK RD,B,SOUTH,Regina,Canada,50.4066619,-104.6007248
DOVER PARK,1250 DOVER AVE,B,NORTH,Regina,Canada,50.48252,-104.59803
STAN OXELGREN MEMORIAL PARK,126 SANGSTER BLVD,B,NORTH,Regina,Canada,50.48968,-104.63554
DR FERGUSON PARK,129 BROTHERTON AVE,B,EAST,Regina,Canada,50.45221670000001,-104.5555935
EDENWOLD EXTENSION R7,129 EDENWOLD CRES,B,WEST,Regina,Canada,50.48623,-104.66298
TURNER PARK,130 BENTLEY DR,B,EAST,Regina,Canada,50.45386,-104.54603
MAHON PARK,130 BROTHERTON AVE,B,EAST,Regina,Canada,50.4527473,-104.5553951
QUAPPELLE PARK,1301 PARKER AVE,B,SOUTH,Regina,Canada,50.41255,-104.59998
PASQUA PARK,1301 PASQUA ST,B,CENTRAL,Regina,Canada,50.45788,-104.6404
GARDINER PARK EXTENSION,1320 E TRUESDALE DR,B,EAST,Regina,Canada,50.4410061,-104.5584062
MARSH PARK,134 MARSH CRES,B,SOUTH,Regina,Canada,50.40157,-104.6159
THERESA STEVENSON PARK,1399 N LAKERIDGE RD,B,WEST,Regina,Canada,50.50381609999999,-104.6603048
EDENWOLD R8 PARK,140 EDENWOLD CRES,B,WEST,Regina,Canada,50.48706,-104.66202
ARBORETUM PARK,1430 4TH AVE,C,CENTRAL,Regina,Canada,50.4631727,-104.6009024
MCINNIS PARK 2,144 MCINNIS CRES,B,NORTH,Regina,Canada,50.4837988,-104.6301522
CARLTON PARK,1450 CARLTON ST,C,WEST,Regina,Canada,50.45631059999999,-104.6714641
DERBY PARK,15 DERBY ST,B,NORTH,Regina,Canada,50.4797047,-104.636619
DRYBURGH PARK,15 DRYBURGH CRES,C,WEST,Regina,Canada,50.49262,-104.66097
MURPHY PARK,15 MURPHY CRES,B,WEST,Regina,Canada,50.47813,-104.68167
STOREY PARK,15 STOREY CRES,B,WEST,Regina,Canada,50.48618,-104.66961
GLEN ELM PARK,1501 BOND ST,B,EAST,Regina,Canada,50.455165,-104.567881
TONY COTE PARK,1505 ANSON RD,C,CENTRAL,Regina,Canada,50.4403448,-104.6027739
OXFORD PARK,1512 E 8TH AVE,B,EAST,Regina,Canada,50.45694959999999,-104.602729
RICHARDSON PARK,156 SHANNON RD,B,SOUTH,Regina,Canada,50.3996569,-104.6149532
EWART PARK,1564 N DEVONSHIRE DR,B,WEST,Regina,Canada,50.5037052,-104.6701556
PATTY CAKE PLAY PARK,1581 ROBINSON ST,C,CENTRAL,Regina,Canada,50.45355319999999,-104.6235346
ENGLEWOOD PARK,165 PETERSMEYER ST,B,NORTH,Regina,Canada,50.49221,-104.62243
ROBERT USHER PARK,1660 9TH AVE N,B,NORTH,Regina,Canada,50.48531,-104.60457
CLERMONT PARK,169 CANNON ST,B,EAST,Regina,Canada,50.4570514,-104.5514006
FUHRMANN PARK,170 FUHRMANN CRES,B,WEST,Regina,Canada,50.4871597,-104.6571907
CONFEDERATION PARK,1700 ELPHINSTONE ST,C,CENTRAL,Regina,Canada,50.4507002,-104.6352966
MAAT PARK,1701 N ELKS RD,B,WEST,Regina,Canada,50.5073371,-104.6536052
FLEET PARK,1728 FLEET ST,B,EAST,Regina,Canada,50.45088,-104.54913
CORE COMMUNITY PARK,1801 MONTREAL ST,B,CENTRAL,Regina,Canada,50.4503673,-104.5977097
REGINA MINOR GIRLS,1825 9TH AVE N,B,NORTH,Regina,Canada,50.48384290000001,-104.6072256
MCVEETY PARK,1851 JUBILEE AVE,C,SOUTH,Regina,Canada,50.42025,-104.6069799
ST MARK PARK,1855 ROTHWELL ST,B,EAST,Regina,Canada,50.4493099,-104.57005
FLAMINGO PARK,19 FLAMINGO CRES,C,SOUTH,Regina,Canada,50.40705999999999,-104.61208
LORIMER PARK,19 LORIMER CRES,B,NORTH,Regina,Canada,50.48128999999999,-104.63828
RIVERBEND PARK,1900 HESELTINE RD,,EAST,Regina,Canada,50.44148999999999,-104.54464
GOLDMAN PARK,1900 NORMAN MACKENZIE RD,B,NORTH,Regina,Canada,50.50007859999999,-104.6074466
